Year,Pop,GDP,Life_exp,Pop_perc_m,Migration,Unemployment,Patents,CO2 emissions,GNP,Air_passengers,Education_GDPperc,Consumer_PI,Fertility_rate_BpW,Mortality_Infant_rate_Dp1000
2010,4560155,2.22E+11,80.74390244,49.68770379,,14.53279972,908,8.783613934,44870,89956333.51,5.84754,100,2.05,3.5
2011,4580084,2.37E+11,80.74634146,49.63310655,,15.35280037,733,7.77982216,41990,92637189.19,5.76242,102.5571888,2.03,3.5
2012,4599533,2.25E+11,80.84634146,49.58006371,-111819,15.45069981,494,7.738155591,40620,93408036,5.32687,104.2967731,1.98,3.4
2013,4623816,2.39E+11,80.94878049,49.53423584,,13.73480034,492,7.538110297,43550,98449140,4.86953,104.8273463,1.93,3.3
2014,4657740,2.58E+11,81.34878049,49.50290176,,11.8572998,333,7.313939808,46450,115928738,3.76355,105.0187005,1.89,3.3
2015,4701957,2.92E+11,81.45365854,49.4913185,,9.906200409,263,,50260,134065078,3.69856,104.7142733,1.85,3.3
2016,4755335,3.01E+11,81.70487805,49.50229887,,8.373900414,250,,52860,153944513,,104.7229712,1.81,3.2
2017,4807388,3.35E+11,81.95609756,49.53309093,118020,6.71239996,202,,53050,167598633,,105.079586,1.81,3.2
2018,4853506,3.82E+11,,49.57449052,,5.740499973,183,,59770,,,105.5927633,,3.1
2019,,,,,,,,,,,,,,
